,date,open,high,low,close,volume,day,month,year,day_name
0,2015-01-09,8285.45,8303.0,8191.1,8280.25,0,9,1,2015,Friday
3,2015-01-12,8291.35,8332.25,8245.6,8326.55,0,12,1,2015,Monday
4,2015-01-13,8346.15,8356.65,8268.15,8303.8,0,13,1,2015,Tuesday
5,2015-01-14,8307.25,8326.3,8236.75,8287.75,0,14,1,2015,Wednesday
6,2015-01-15,8425.2,8526.9,8380.75,8461.15,0,15,1,2015,Thursday
10,2015-01-19,8553.4,8570.8,8531.7,8550.3,0,19,1,2015,Monday
11,2015-01-20,8575.1,8707.75,8574.65,8691.25,0,20,1,2015,Tuesday
12,2015-01-21,8719.65,8741.5,8689.7,8728.05,0,21,1,2015,Wednesday
13,2015-01-22,8745.85,8774.0,8727.15,8762.2,0,22,1,2015,Thursday
14,2015-01-23,8827.95,8866.15,8795.6,8823.55,0,23,1,2015,Friday
18,2015-01-27,8871.35,8924.95,8825.55,8904.2,0,27,1,2015,Tuesday
19,2015-01-28,8902.75,8985.05,8874.2,8906.8,0,28,1,2015,Wednesday
20,2015-01-29,8901.5,8966.2,8861.65,8950.2,0,29,1,2015,Thursday
21,2015-01-30,8996.6,8996.6,8775.6,8821.45,0,30,1,2015,Friday
24,2015-02-02,8802.5,8839.9,8751.45,8798.15,0,2,2,2015,Monday
25,2015-02-03,8823.15,8836.45,8726.65,8746.65,0,3,2,2015,Tuesday
26,2015-02-04,8789.15,8791.45,8704.7,8713.95,0,4,2,2015,Wednesday
27,2015-02-05,8733.1,8838.3,8683.95,8699.4,0,5,2,2015,Thursday
28,2015-02-06,8696.85,8725.8,8646.65,8666.0,0,6,2,2015,Friday
31,2015-02-09,8584.4,8603.9,8516.35,8518.3,0,9,2,2015,Monday
32,2015-02-10,8478.1,8646.15,8472.05,8578.85,0,10,2,2015,Tuesday
33,2015-02-11,8603.3,8651.9,8594.05,8635.5,0,11,2,2015,Wednesday
34,2015-02-12,8676.95,8732.15,8599.4,8728.4,0,12,2,2015,Thursday
35,2015-02-13,8741.5,8821.7,8730.0,8803.05,0,13,2,2015,Friday
38,2015-02-16,8831.4,8869.95,8793.7,8808.7,0,16,2,2015,Monday
40,2015-02-18,8811.55,8893.9,8810.05,8865.25,0,18,2,2015,Wednesday
41,2015-02-19,8883.05,8913.45,8794.55,8898.35,0,19,2,2015,Thursday
42,2015-02-20,8895.5,8895.5,8816.5,8827.7,0,20,2,2015,Friday
45,2015-02-23,8856.85,8868.9,8737.25,8742.8,0,23,2,2015,Monday
46,2015-02-24,8772.9,8800.5,8727.25,8760.8,0,24,2,2015,Tuesday
47,2015-02-25,8802.65,8840.5,8751.65,8765.25,0,25,2,2015,Wednesday
48,2015-02-26,8779.0,8783.6,8669.85,8694.65,0,26,2,2015,Thursday
49,2015-02-27,8729.5,8856.95,8717.6,8850.65,0,27,2,2015,Friday
50,2015-02-28,8913.05,8940.8,8751.6,8920.75,0,28,2,2015,Saturday
52,2015-03-02,8954.6,8971.7,8885.65,8961.55,0,2,3,2015,Monday
53,2015-03-03,8962.85,9008.25,8925.7,8996.75,0,3,3,2015,Tuesday
54,2015-03-04,9109.15,9117.3,8894.5,8918.4,0,4,3,2015,Wednesday
55,2015-03-05,8929.4,8957.35,8849.45,8937.75,0,5,3,2015,Thursday
59,2015-03-09,8877.3,8877.3,8740.45,8743.25,0,9,3,2015,Monday
60,2015-03-10,8769.75,8777.95,8677.6,8725.6,0,10,3,2015,Tuesday
61,2015-03-11,8728.75,8755.3,8682.5,8701.8,0,11,3,2015,Wednesday
62,2015-03-12,8740.65,8786.2,8733.5,8771.4,0,12,3,2015,Thursday
63,2015-03-13,8844.05,8844.05,8632.4,8661.1,0,13,3,2015,Friday
66,2015-03-16,8641.1,8660.8,8612.15,8639.6,0,16,3,2015,Monday
67,2015-03-17,8689.1,8742.1,8631.15,8722.35,0,17,3,2015,Tuesday
68,2015-03-18,8742.9,8746.4,8664.35,8680.9,0,18,3,2015,Wednesday
69,2015-03-19,8749.45,8787.95,8614.95,8622.9,0,19,3,2015,Thursday
70,2015-03-20,8627.9,8627.9,8553.3,8584.85,0,20,3,2015,Friday
73,2015-03-23,8591.55,8607.9,8540.75,8550.95,0,23,3,2015,Monday
74,2015-03-24,8537.05,8626.65,8536.95,8549.9,0,24,3,2015,Tuesday
75,2015-03-25,8568.9,8573.45,8517.0,8517.0,0,25,3,2015,Wednesday
76,2015-03-26,8474.95,8498.9,8326.35,8382.3,0,26,3,2015,Thursday
77,2015-03-27,8396.0,8411.4,8269.55,8348.05,0,27,3,2015,Friday
80,2015-03-30,8391.7,8504.25,8381.2,8501.35,0,30,3,2015,Monday
81,2015-03-31,8527.6,8549.95,8455.05,8480.9,0,31,3,2015,Tuesday
82,2015-04-01,8483.7,8600.6,8465.0,8590.3,0,1,4,2015,Wednesday
87,2015-04-06,8615.8,8667.5,8573.85,8652.0,0,6,4,2015,Monday
88,2015-04-07,8684.45,8692.5,8586.9,8676.9,0,7,4,2015,Tuesday
89,2015-04-08,8698.95,8730.15,8679.85,8717.35,0,8,4,2015,Wednesday
90,2015-04-09,8756.2,8785.3,8682.6,8774.25,0,9,4,2015,Thursday
91,2015-04-10,8774.35,8787.1,8734.35,8767.55,0,10,4,2015,Friday
94,2015-04-13,8801.75,8841.35,8762.5,8825.9,0,13,4,2015,Monday
96,2015-04-15,8844.75,8844.75,8722.95,8735.5,0,15,4,2015,Wednesday
97,2015-04-16,8757.05,8759.1,8645.8,8693.25,0,16,4,2015,Thursday
98,2015-04-17,8698.05,8698.75,8596.95,8602.05,0,17,4,2015,Friday
101,2015-04-20,8615.4,8619.95,8423.2,8443.0,0,20,4,2015,Monday
102,2015-04-21,8416.1,8469.15,8353.1,8398.1,0,21,4,2015,Tuesday
103,2015-04-22,8400.4,8449.2,8284.85,8436.5,0,22,4,2015,Wednesday
104,2015-04-23,8478.2,8504.95,8362.1,8387.95,0,23,4,2015,Thursday
105,2015-04-24,8405.7,8412.15,8273.8,8320.15,0,24,4,2015,Friday
108,2015-04-27,8330.55,8331.4,8203.1,8203.15,0,27,4,2015,Monday
109,2015-04-28,8215.55,8307.55,8185.75,8264.85,0,28,4,2015,Tuesday
110,2015-04-29,8274.8,8308.05,8219.5,8236.4,0,29,4,2015,Wednesday
111,2015-04-30,8224.5,8228.9,8145.0,8204.95,0,30,4,2015,Thursday
115,2015-05-04,8230.05,8345.35,8221.25,8342.65,0,4,5,2015,Monday
116,2015-05-05,8338.4,8355.55,8280.6,8321.1,0,5,5,2015,Tuesday
117,2015-05-06,8316.6,8330.3,8083.35,8092.45,0,6,5,2015,Wednesday
118,2015-05-07,8077.0,8122.2,7997.35,8047.15,0,7,5,2015,Thursday
119,2015-05-08,8131.5,8224.9,8123.65,8190.3,0,8,5,2015,Friday
122,2015-05-11,8243.2,8332.7,8224.85,8320.05,0,11,5,2015,Monday
123,2015-05-12,8326.15,8326.15,8115.45,8125.0,0,12,5,2015,Tuesday
124,2015-05-13,8181.55,8254.55,8090.8,8237.4,0,13,5,2015,Wednesday
125,2015-05-14,8232.45,8235.9,8137.55,8221.15,0,14,5,2015,Thursday
126,2015-05-15,8240.3,8278.9,8213.1,8254.75,0,15,5,2015,Friday
129,2015-05-18,8284.95,8384.35,8271.95,8376.2,0,18,5,2015,Monday
130,2015-05-19,8356.2,8427.55,8335.25,8357.05,0,19,5,2015,Tuesday
131,2015-05-20,8392.65,8440.2,8392.65,8413.15,0,20,5,2015,Wednesday
132,2015-05-21,8434.5,8442.2,8382.7,8419.05,0,21,5,2015,Thursday
133,2015-05-22,8432.5,8489.0,8420.9,8448.35,0,22,5,2015,Friday
136,2015-05-25,8438.15,8441.95,8364.25,8366.9,0,25,5,2015,Monday
137,2015-05-26,8377.65,8378.45,8320.15,8354.8,0,26,5,2015,Tuesday
138,2015-05-27,8302.75,8342.6,8278.3,8337.1,0,27,5,2015,Wednesday
139,2015-05-28,8345.7,8364.2,8270.3,8319.0,0,28,5,2015,Thursday
140,2015-05-29,8327.1,8443.45,8306.7,8432.95,0,29,5,2015,Friday
143,2015-06-01,8417.25,8467.05,8406.25,8422.55,0,1,6,2015,Monday
144,2015-06-02,8442.8,8442.8,8226.55,8232.25,0,2,6,2015,Tuesday
145,2015-06-03,8232.45,8234.4,8094.45,8148.55,0,3,6,2015,Wednesday
146,2015-06-04,8155.15,8158.6,8057.3,8136.95,0,4,6,2015,Thursday
147,2015-06-05,8119.15,8190.8,8101.3,8113.9,0,5,6,2015,Friday
150,2015-06-08,8124.35,8129.15,8030.65,8036.95,0,8,6,2015,Monday
151,2015-06-09,8026.5,8057.05,8005.5,8015.45,0,9,6,2015,Tuesday
152,2015-06-10,8024.15,8152.15,8024.15,8125.5,0,10,6,2015,Wednesday
153,2015-06-11,8157.3,8161.65,7958.45,7964.85,0,11,6,2015,Thursday
154,2015-06-12,7959.85,7995.3,7940.95,7991.45,0,12,6,2015,Friday
157,2015-06-15,7986.6,8057.65,7945.55,8006.15,0,15,6,2015,Monday
158,2015-06-16,8004.2,8061.65,7952.65,8057.2,0,16,6,2015,Tuesday
159,2015-06-17,8084.2,8136.6,8049.75,8089.7,0,17,6,2015,Wednesday
160,2015-06-18,8113.7,8186.75,8103.6,8178.35,0,18,6,2015,Thursday
161,2015-06-19,8201.15,8250.25,8199.65,8232.95,0,19,6,2015,Friday
164,2015-06-22,8259.3,8369.35,8259.3,8352.3,0,22,6,2015,Monday
165,2015-06-23,8377.45,8398.35,8335.75,8381.1,0,23,6,2015,Tuesday
166,2015-06-24,8399.4,8421.15,8339.35,8339.85,0,24,6,2015,Wednesday
167,2015-06-25,8336.25,8423.05,8330.3,8415.05,0,25,6,2015,Thursday
168,2015-06-26,8393.95,8408.35,8340.1,8382.2,0,26,6,2015,Friday
171,2015-06-29,8247.05,8329.35,8196.1,8326.4,0,29,6,2015,Monday
172,2015-06-30,8316.35,8377.85,8299.1,8371.6,0,30,6,2015,Tuesday
173,2015-07-01,8376.25,8474.3,8370.15,8462.5,0,1,7,2015,Wednesday
174,2015-07-02,8471.95,8479.25,8433.3,8440.95,0,2,7,2015,Thursday
175,2015-07-03,8440.1,8497.75,8424.5,8486.35,0,3,7,2015,Friday
178,2015-07-06,8386.15,8532.1,8386.15,8523.4,0,6,7,2015,Monday
179,2015-07-07,8525.5,8561.1,8483.9,8516.95,0,7,7,2015,Tuesday
180,2015-07-08,8439.2,8457.5,8341.5,8354.65,0,8,7,2015,Wednesday
181,2015-07-09,8364.85,8400.0,8323.0,8335.15,0,9,7,2015,Thursday
182,2015-07-10,8365.7,8376.85,8315.65,8357.05,0,10,7,2015,Friday
185,2015-07-13,8397.25,8471.2,8355.4,8461.4,0,13,7,2015,Monday
186,2015-07-14,8470.6,8479.95,8424.6,8442.4,0,14,7,2015,Tuesday
187,2015-07-15,8463.4,8531.05,8463.4,8526.0,0,15,7,2015,Wednesday
188,2015-07-16,8545.8,8615.95,8543.85,8610.8,0,16,7,2015,Thursday
189,2015-07-17,8623.65,8642.65,8593.4,8613.85,0,17,7,2015,Friday
192,2015-07-20,8623.9,8623.9,8559.1,8602.3,0,20,7,2015,Monday
193,2015-07-21,8601.5,8646.7,8518.25,8531.9,0,21,7,2015,Tuesday
194,2015-07-22,8512.25,8643.85,8499.55,8631.65,0,22,7,2015,Wednesday
195,2015-07-23,8643.95,8654.6,8573.95,8586.8,0,23,7,2015,Thursday
196,2015-07-24,8588.15,8588.15,8513.5,8527.1,0,24,7,2015,Friday
199,2015-07-27,8492.1,8492.1,8352.5,8362.0,0,27,7,2015,Monday
200,2015-07-28,8371.1,8397.3,8321.95,8341.2,0,28,7,2015,Tuesday
201,2015-07-29,8365.6,8381.25,8338.55,8380.35,0,29,7,2015,Wednesday
202,2015-07-30,8413.2,8458.75,8408.7,8429.05,0,30,7,2015,Thursday
203,2015-07-31,8456.1,8548.85,8449.25,8530.95,0,31,7,2015,Friday
206,2015-08-03,8510.65,8563.7,8510.65,8538.7,0,3,8,2015,Monday
207,2015-08-04,8564.1,8564.35,8448.65,8524.25,0,4,8,2015,Tuesday
208,2015-08-05,8547.4,8591.75,8547.4,8567.05,0,5,8,2015,Wednesday
209,2015-08-06,8585.8,8606.05,8551.55,8587.0,0,6,8,2015,Thursday
210,2015-08-07,8580.8,8595.65,8553.25,8570.45,0,7,8,2015,Friday
213,2015-08-10,8577.0,8621.4,8498.0,8502.9,0,10,8,2015,Monday
214,2015-08-11,8549.85,8555.75,8441.35,8467.4,0,11,8,2015,Tuesday
215,2015-08-12,8446.7,8446.7,8338.0,8353.95,0,12,8,2015,Wednesday
216,2015-08-13,8385.3,8429.15,8341.25,8383.15,0,13,8,2015,Thursday
217,2015-08-14,8402.35,8529.95,8381.4,8518.9,0,14,8,2015,Friday
220,2015-08-17,8530.5,8530.5,8428.55,8471.85,0,17,8,2015,Monday
221,2015-08-18,8503.75,8525.6,8433.6,8466.25,0,18,8,2015,Tuesday
222,2015-08-19,8468.05,8520.3,8426.55,8493.9,0,19,8,2015,Wednesday
223,2015-08-20,8477.15,8501.0,8359.75,8387.2,0,20,8,2015,Thursday
224,2015-08-21,8298.7,8321.75,8225.25,8284.65,0,21,8,2015,Friday
227,2015-08-24,8055.95,8058.95,7769.7,7798.95,0,24,8,2015,Monday
228,2015-08-25,7896.55,7924.25,7668.0,7906.35,0,25,8,2015,Tuesday
229,2015-08-26,7865.25,7929.85,7777.4,7789.15,0,26,8,2015,Wednesday
230,2015-08-27,7919.15,7963.15,7862.6,7960.25,0,27,8,2015,Thursday
231,2015-08-28,8053.7,8091.7,7962.0,7995.75,0,28,8,2015,Friday
234,2015-08-31,8006.7,8043.4,7948.7,7971.0,0,31,8,2015,Monday
235,2015-09-01,7907.95,7928.8,7747.0,7781.4,0,1,9,2015,Tuesday
236,2015-09-02,7857.8,7857.8,7699.6,7727.65,0,2,9,2015,Wednesday
237,2015-09-03,7774.45,7845.45,7754.35,7831.25,0,3,9,2015,Thursday
238,2015-09-04,7803.4,7803.4,7627.55,7655.95,0,4,9,2015,Friday
